"","PORT","AVERAGE_TOTAL"
"1","NEW BEDFORD, MA",397669421.555556
"2","CONFIDENTIAL, VA",278050992.777778
"3","VIRGINIA, NK, VA",173071724.75
"4","NEW YORK, NK, NY",84158952.2222222
"5","MARYLAND, NK, MD",71837791
"6","CAPE MAY, NJ",67803186.4444444
"7","CONFIDENTIAL, MD",62994831.7777778
"8","STONINGTON, ME",58314829.7777778
"9","POINT JUDITH, RI",56493441.5555556
"10","GLOUCESTER, MA",52967571.2222222
"11","VINALHAVEN, ME",39677630.1111111
"12","MAINE, NK, ME",38501599.1111111
"13","PORTLAND, ME",31146944.5555556
"14","POINT PLEASANT, NJ",30658400.5555556
"15","NORTHUMBERLAND, VA",28334564.1428571
"16","HARPSWELL, ME",26777459.6666667
"17","BARNEGAT LIGHT, NJ",25045508.4444444
"18","FRIENDSHIP, ME",23106179.8888889
"19","BEALS, ME",22347038.5555556
"20","NEWINGTON, NH",21353047.6666667
"21","CONFIDENTIAL, DE",20173671.1111111
"22","NORTHAMPTON, VA",20159770.5
"23","NEWPORT NEWS, VA",20109792.4444444
"24","ATLANTIC CITY, NJ",18835976.7777778
"25","SPRUCE HEAD, ME",17602517.2222222
"26","MONTAUK, NY",17546582.1111111
"27","BOSTON, MA",17029953.3333333
"28","CHATHAM, MA",15994367.3333333
"29","WANCHESE, NC",15271869.4444444
"30","SEAFORD, VA",14792886.8888889
"31","ROCKLAND, ME",14665348.1111111
"32","HAMPTON, VA",13729046.7777778
"33","NORTH KINGSTOWN, RI",13684667.6666667
"34","TREMONT, ME",13382527.8888889
"35","FAIRHAVEN, MA",13315339.5555556
"36","NEW JERSEY, NK, NJ",13058387.75
"37","JONESPORT, ME",12857639.5555556
"38","CONFIDENTIAL, ME",12622904.7777778
"39","KENT, DE",12160509
"40","BARNSTABLE, MA",11929902.3333333
"41","MILBRIDGE, ME",11488707.2222222
"42","OWLS HEAD, ME",11484145.5555556
"43","SOUTHWEST HARBOR, ME",11460274
"44","GOULDSBORO, ME",11047944.7777778
"45","CUSHING, ME",9989414
"46","SWANS ISLAND, ME",9873568.33333333
"47","BEAUFORT, NC",9732840.22222222
"48","TENANTS HARBOR, ME",9277682
"49","COREA, ME",8699682.66666667
"50","STEUBEN, ME",8643501
"51","PORT CLYDE, ME",8589262.22222222
"52","MACHIASPORT, ME",8587325
"53","HARRINGTON, ME",8413420.22222222
"54","NEWPORT, RI",8284670.55555556
"55","PROVINCETOWN, MA",8163255.44444444
"56","WINTER HARBOR, ME",7656833.22222222
"57","PORTSMOUTH, NH",7312299.55555556
"58","BOOTHBAY HARBOR, ME",7201226.11111111
"59","ACCOMAC, VA",7122798.5
"60","SOUTH BRISTOL, ME",7058956.22222222
"61","CUTLER, ME",6939261.55555556
"62","WELLFLEET, MA",6806339.88888889
"63","BAR HARBOR, ME",6725910.44444444
"64","CRANBERRY ISLES, ME",6633481.66666667
"65","ADDISON, ME",6538079.22222222
"66","KITTERY, ME",6425138.88888889
"67","BAILEY ISLAND, ME",6347052
"68","PLYMOUTH, MA",6317246.88888889
"69","SANDWICH, MA",6202346.77777778
"70","HAMPTON BAYS, NY",5989006.55555556
"71","BLUE HILL, ME",5956711.22222222
"72","ENGELHARD, NC",5920178.22222222
"73","LUBEC, ME",5902274
"74","OCEAN CITY, MD",5886266.88888889
"75","STONINGTON, CT",5819348.11111111
"76","DUXBURY, MA",5727313.44444444
"77","MARSHFIELD, MA",5681606.55555556
"78","MATINICUS, ME",5523106.88888889
"79","DEER ISLE, ME",5497233
"80","NEW HARBOR, ME",5387803.22222222
"81","ROCKPORT, MA",5263122.44444444
"82","MT. DESERT, ME",4954045.33333333
"83","WILDWOOD, NJ",4710428.66666667
"84","EASTPORT, ME",4690629.88888889
"85","RHODE ISLAND, NK, RI",4521513.66666667
"86","SCITUATE, MA",4411177
"87","CAPE PORPOISE, ME",4306146.88888889
"88","PHIPPSBURG, ME",4274575.66666667
"89","NEW LONDON, CT",4225354
"90","YORK, ME",3951618
"91","CRAIG, VA",3894600.33333333
"92","CHINCOTEAGUE, VA",3856076.33333333
"93","ORIENTAL, NC",3763789.22222222
"94","HYANNIS, MA",3629095.66666667
"95","BEVERLY, MA",3618008.66666667
"96","SUNSHINE, ME",3462467.11111111
"97","BREMEN, ME",3392782.88888889
"98","HARWICH PORT, MA",3386235
"99","SCARBOROUGH, ME",3383473
"100","CONNECTICUT, NK, CT",3359694.25
