"","PORT.NAME","STATE","TOTAL_AVG"
"1","BOOTHBAY","ME",250105.181481481
"2","FALMOUTH","ME",411510.277777778
"3","KENNEBUNK","ME",208028.425925926
"4","KENNEBUNKPORT","ME",428182.840740741
"5","ST. GEORGE","ME",389674.770238095
"6","WELLS","ME",136937.296296296
"7","CHATHAM","MA",377651.465649438
"8","FALMOUTH","MA",95648.4484126984
"9","MENEMSHA","MA",75307.8551952768
"10","PROVINCETOWN","MA",444604.679506548
"11","NEWPORT","RI",330552.985485556
"12","NORTH KINGSTOWN","RI",806529.561251167
"13","YORK","ME",1149499.5625
